,User,Original Tweet
1467,LendKomp,"@ok_ukraine Ну,да,осталось вам всего ничего- победить Россию! Вы никогда не победите Россию и не мечтайте."
1468,Serega3452,"RT @_rexmel: Мадина из Казахстана на собственные средства создала ""с нуля"" производство бронежилетов в Украине и раздает их бесплатно. 

По…"
1469,mazila1955,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1470,Kiev_ukraine_,Отключение света в Киеве: ситуация на 15 января 2023 | Факты ICTV - Факты ICTV https://t.co/Eu7sK6RUrg
1471,sergshabal,RT @dw_russian: Ввести новые санкции против Кремля на фоне ситуации в Днепре призвал премьер-министр Бельгии Ги Верхофстадт. Среди этих мер…
1472,Kiev_ukraine_,"В Киеве патрульные, рискуя собственной жизнью, спасли мужчину: подробности и фото - Жизнь https://t.co/VgtQ0EZq3O"
1473,Kiev_ukraine_,Стало известно о ситуации со светом после ракетных обстрелов Киева - КиевКомментарии https://t.co/7QSnjAExwQ
1474,Kiev_ukraine_,Экстренные графики в Киеве не отменили: какая ситуация со светом в столице 15 января - ТСН - Новости Киева https://t.co/yT1VSdWrnx
1475,SDorazilova,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1476,Kiev_ukraine_,В Киеве легковушка на скорости протаранила маршрутку. Видео - Жизнь https://t.co/XD7pFWkq44
1477,emigrationrf,RT @GolosAmeriki: Кондолиза Райс: победа Украины изменит Европу к лучшему https://t.co/tIcP5ihobZ
1478,AFC_Muiz,"Нет, совсем нет https://t.co/8K75BgXjQM"
1479,Vladimi31632224,"RT @dw_russian: Число погибших в результате попадания ракеты по многоэтажному дому в Днепре возросло до 18 человек, среди них один ребенок,…"
1480,alezabr,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1481,shurasplushkin,@ukraine_don @lubov_strunina @menywddig @Voluska18 Вот тебе любителю кораблей фото-не плачь) https://t.co/2BckUC231N
1482,Joseph_Seed77,"@esmatrix @ok_ukraine @PERSIAN__PRINCE Они в Украинц сколько отправили? 
То есть в других странах не ссали?
А тут прям рядом с Европой и ссут.
Да и денег они тратят не мало налогоплотельшики не видят?"
1483,US9kXVymLPFxbU8,"RT @SvobodaRadio: Великобритания уже в ближайшие недели поставит Украине 14 тяжёлых танков ""Челленджер-2"" и станет первой страной, от котор…"
1484,AFC_Muiz,"Путин очищает вашу страну, мне все равно @Ukraine"
1485,Iktotti,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1486,UA_NICHT_AUFGEB,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1487,levchandrrr,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1488,shurasplushkin,"@ukraine_don @lubov_strunina @menywddig @Voluska18 Да ты говорить научись сначала по-русски, без этих своих детских передёргиваний, может быть тебя кто и услышит...а на эту ментальную блёвань и беспомощное топание ножкой, ответ один: *звук падающего в воду говна*"
1489,drajzel,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1490,PourqoisPas,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1491,SEMENRACHKOV,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1492,AngieDejong,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1493,FMktrchan,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1494,Tagiev069Tagiev,"RT @DrHughMore: Тем кто сомневался нужен ли ад, смотреть кадры из Дніпро 2023 и Gəncə 2020. По жилым домам только 🇷🇺 &amp; 🇦🇲 ракетами бьют...…"
1495,esmatrix,"@Joseph_Seed77 @ok_ukraine @PERSIAN__PRINCE ссут потерять хоть одного солдата или танк
 налогоплательщики им этого не простят"
1496,Cynidiognathus,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1497,lehashamanka,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1498,tselikovska,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1499,AteoBreaking,RT @alexlitreev: Россия — государство-террорист.
1500,windfromhome,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1501,Dialog_UA,"""Народ, я просто устал"", - Арестович сделал новое заявление после скандала с ракетой россиян по Днепру   https://t.co/ognFbwILWK https://t.co/1Sujqyfje3"
1502,PLj9vVAEU9YC6uz,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1503,patienttrading,"RT @dw_russian: Число погибших в результате попадания ракеты по многоэтажному дому в Днепре возросло до 18 человек, среди них один ребенок,…"
1504,LongRangeWalker,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1505,julsid1970,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1506,put_in_vor,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1507,airvolkus,RT @dw_russian: Ввести новые санкции против Кремля на фоне ситуации в Днепре призвал премьер-министр Бельгии Ги Верхофстадт. Среди этих мер…
1508,autobaza,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1509,VtChief,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1510,kazziava2015,"RT @kassi_saba: @Ukraine_Twi @Ledpodnogami1 @arestovych По сути нет разницы сама или сбили, российские ракеты в принципе не должны летать в…"
1511,adzumash_,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1512,ar_ukraine,"RT @TBaltrukonis: Была грузинская военная дорога, теперь продажная. Караван обходит санкции из Грузии в Россию.
© Rita Miliūtė 
© Sergey Po…"
1513,ls819011,RT @alexlitreev: Россия — государство-террорист.
1514,ApostolArtem,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1515,aoozpn,Издание https://t.co/eltgwQVaGb снова нагло врёт болгарам об эпизодах войны на Украине https://t.co/z1421hKcJt
1516,sashaktoto41,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1517,Irina_S2306,"RT @War2022ua: Пополнение в обменный фонд
#ukrainecounteroffensive #Ukraine #Kherson #Soledar #Wagner #ATACMS #Bakhmut #HIMARS #Kramatorsk…"
1518,IhorReserv,"@Ukraine_Twi @arestovych То есть, ПВО у нас хуё вая, не смогла ракету сбить?"
1519,tetyaMocenzlaya,"Будьте прокляты! Сколько страданий принесли людям! Нет вам оправдания, нет вам прощения! #Ukraine #Dnipro https://t.co/WquFs9BGaP"
1520,rektvtn,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1521,istrebitel78,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1522,alexlitreev,Россия — государство-террорист. https://t.co/6jI9Nh9jQa
1523,stressy377,@DI_Ukraine @BackAndAlive Забейся в дырку поглубже- авось и пронесет..
1524,PerepelicaTana,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1525,AZanabilov,@Evgeni1508 @ok_ukraine Так Гитлером в этой ситуации Путлер же выступает. Ты 👇 https://t.co/WVAlA2JYsD
1526,Komtanik,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1527,slvfortwit,"@ok_ukraine Надеемся, но готовимся воевать тем, что имеется. Придут - хорошо!"
1528,Cukamariyka,@ruslan21114190 @Ukraine_OP Пипец
1529,PlatAnton,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1530,InnaVonMariupol,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1531,pogovorim_by,Пентагон намерен передать Украине вооружения на $675 млн. с боеприпаса / Главные новости https://t.co/WjfgTXDHtw https://t.co/mKMwndGVij
1532,sunk_ship,"RT @MeduzaSafe: «Цель удара достигнута». Минобороны РФ — о массированном ударе по Украине, из-за которого в Днепре ракета попала в жилой до…"
1533,ukraine_don,"RT @vital_ovchar: Уважаемые жители Донецкой и Луганской областей, если Вас насильно мобилизировали в армию России, и вы не хотите воевать -…"
1534,And8gall,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1535,PhoenixJanus,"RT @meduzaproject: ДАННОЕ СООБЩЕНИЕ (МАТЕРИАЛ) СОЗДАНО И (ИЛИ) РАСПРОСТРАНЕНО ИНОСТРАННЫМ СРЕДСТВОМ МАССОВОЙ ИНФОРМАЦИИ, ВЫПОЛНЯЮЩИМ ФУНКЦИ…"
1536,ukraine_don,@shurasplushkin @lubov_strunina @menywddig @Voluska18 совкодрочер за кораблём вместе со своим руцким миром🖕
1537,sve83274,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1538,Klara0680,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1539,Alisa_Vasilisa_,"на вооружении двух артиллерийских полков.

milinfolive

https://t.co/E4SYNbwOyN"
1540,AvtandiL_Sigizm,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1541,spekulyant,Британия вместе с 14 танками Challenger 2 даст Украине 30 гаубиц AS90 https://t.co/KEzWCkwsf8
1542,W7AV4OY3dMKqv08,"RT @Dialog_UA: ""Не подведите"", - Корбану припомнили обещание устроить Путину Пульса де-Нура при ударе по Днепру   https://t.co/RYhHAwypDS h…"
1543,boh_nakazhet,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1544,Karakur22266791,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1545,oolesya20077,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1546,IndriyGreat,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1547,go_ukraine_go,@1st_omen Eto ya. Кмк такие мужчины не хуесосят никого в твиттере
1548,Victori94571185,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1549,LoVjnbdfwbz,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1550,StugnaU,RT @dw_russian: Ввести новые санкции против Кремля на фоне ситуации в Днепре призвал премьер-министр Бельгии Ги Верхофстадт. Среди этих мер…
1551,Vikings_Rus747,"RT @Rurik_Rorik862: Слуги евреев и марксиста Си Сунак, обрезанный евреем Карл III и Байден бьются за захват евреями и КПК Британии, Индии,…"
1552,n0mernabis,"RT @euronewsru: В Днепре в результате ракетного удара погибли по меньшей мере 5 человек, полностью разрушен подъезд жилой многоэтажки. Сооб…"
1553,rogue_corq,Десятки тысяч людей вышли на протесты против предложенных правительством Израиля изменений в правовой системе https://t.co/6aXaQ47148 #ukraine
1554,Zasedately,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1555,shurasplushkin,@ukraine_don @lubov_strunina @menywddig @Voluska18 *звук говна упашего в воду*
1556,LayevskaOlga,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1557,ruslan21114190,@Cukamariyka @Ukraine_OP Канечна
1558,Rurik_Rorik862,"Слуги евреев и марксиста Си Сунак, обрезанный евреем Карл III и Байден бьются за захват евреями и КПК Британии, Индии, США и мира.
#нюдсочетверг Ukraine Путина Арестович China Ukrainian Хабенский Russian Зеленский мама КНР Какие Молодец Рада Полностью Вчера Украине #нюдсочетверга https://t.co/fmSH2GD2Ya https://t.co/OjXWcEmIgC"
1559,BeataOmnicka,"Точно

@BeataOmnicka https://t.co/WDfuaWb3LH"
1560,Hellraider5,"RT @War2022ua: Сухопутные войска ВСУ показали, как Подразделения ПВО 28-й ОМБР уничтожали российские дроны-камикадзе ""Ланцет""
#ukrainecount…"
1561,MasiukYaroslav,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1562,rozmazal,"RT @dw_russian: Число погибших в результате попадания ракеты по многоэтажному дому в Днепре возросло до 18 человек, среди них один ребенок,…"
1563,Lola12135958,@ok_ukraine Ого..как много ..🤡
1564,fedorenkon345,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1565,grey_wolk,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1566,illumibeloved,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1567,dobrijdiadia,"Cостоятельные и известные финны готовы заплатить более 200 евро за то, чтобы их послания написали на 155-миллиметровых артиллерийских снарядах для Украины https://t.co/Pe4KYPSgz6
Украине Киеве Украины #Ukraine #UkraineWar Москве Днепре"
1568,iFreskai,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1569,Galyna_galyna,"RT @War2022ua: Общие потери армии РФ по состоянию на 15.01.2023
#ukrainecounteroffensive #Ukraine #Kherson #Soledar #Wagner #ATACMS #Bakhmu…"
1570,viarravu,"RT @DrHughMore: Тем кто сомневался нужен ли ад, смотреть кадры из Дніпро 2023 и Gəncə 2020. По жилым домам только 🇷🇺 &amp; 🇦🇲 ракетами бьют...…"
1571,Maharishi2016,"RT @SvobodaRadio: Великобритания уже в ближайшие недели поставит Украине 14 тяжёлых танков ""Челленджер-2"" и станет первой страной, от котор…"
1572,Tut_toje_tut,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1573,taee_OwO,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1574,lallacar,За что? #GenocideOfUkrainians #StopRussia #Ukraine #RussiaisATerroistState #russiaisateroriststate https://t.co/wDFYBZkLiX
1575,savageSamurai28,"RT @ConfidentialUn: #Украина
ЮНИСЕФ известно о сообщениях о том, что в результате ракетного удара по жилому дому в городе Днепр 14 января п…"
1576,PREMIUM_UKRAINE,"RT @4pdaru: Найден способ делать полностью энергонезависимую электронику
https://t.co/2UuiUdgJxu https://t.co/4MbHpYwHuM"
1577,AizekAzimm,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1578,RPzGOWwBUgNGOoX,RT @GolosAmeriki: Кондолиза Райс: победа Украины изменит Европу к лучшему https://t.co/tIcP5ihobZ
1579,volodym70189485,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1580,2wL5qp45T2Z8SrY,RT @War2022ua: Зa минувшие сутки российская армия убила в Украине 26 гражданских людей: 21 в Днепропетровской области и 5 в Донецкой област…
1581,rus_zg,"RT @SergejLysyj1: @Ukraine_2021 @BSNcPLbE2g6z3lA Мало того, что он гей, он ещё и пидарас."
1582,iwannabyrtsk,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1583,foto_falcon,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1584,dddtechnology,RT @dw_russian: Ввести новые санкции против Кремля на фоне ситуации в Днепре призвал премьер-министр Бельгии Ги Верхофстадт. Среди этих мер…
1585,sidor56798841,@ok_ukraine Героям сало.
1586,AndonsTLT,@ok_ukraine И что это меняет?..
1587,zavediya,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1588,lasttsar_,"RT @SvobodaRadio: Великобритания уже в ближайшие недели поставит Украине 14 тяжёлых танков ""Челленджер-2"" и станет первой страной, от котор…"
1589,ilyina_olena,"RT @SvobodaRadio: ""Путин уверен: только Россия в его лице вправе решать за Украину, где должны проходить её границы и какой путь развития е…"
1590,nariell_a,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1591,AleksBrejk,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1592,barcelonic69,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1593,GolubNadi,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1594,ukraine_Liub_tv,Шольц боиться повторения 1941-1945 гг https://t.co/iGGJPgtK5L
1595,NEWS365biz,"В США рассказали, когда Россия победит на Украине

Офицер разведки американской морской пехоты в отставке Скотт Риттер в беседе с YouTube-каналом Syriana Analysis рассказал, когда Российская... https://t.co/OGc2Xo0MV4"
1596,ukraine_ua123,"RT @arestovych: - Не выкладываем результаты попаданий.

Не выкладываем работу ПВО.

Не игнорируем, налёт масштабный. 

￼"
1597,Astoria2510,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1598,kamalajafarova1,"RT @DrHughMore: Тем кто сомневался нужен ли ад, смотреть кадры из Дніпро 2023 и Gəncə 2020. По жилым домам только 🇷🇺 &amp; 🇦🇲 ракетами бьют...…"
1599,madstrekoza,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1600,2fB7xoZ,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1601,Ernest436694322,RT @GolosAmeriki: Кондолиза Райс: победа Украины изменит Европу к лучшему https://t.co/tIcP5ihobZ
1602,whynotremar,"Цим все сказано! 
#GenocideOfUkrainians #russiaisateroriststate #MissUniverse #Дніпро #нюдсочетверг #Ukraine #Russia https://t.co/3QBpqvlQ2s"
1603,kamo_gradesi,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1604,patienttrading,RT @dw_russian: Ввести новые санкции против Кремля на фоне ситуации в Днепре призвал премьер-министр Бельгии Ги Верхофстадт. Среди этих мер…
1605,hippy_spaceship,"RT @MeduzaSafe: «Цель удара достигнута». Минобороны РФ — о массированном ударе по Украине, из-за которого в Днепре ракета попала в жилой до…"
1606,ukraine_don,"@Hait701 @lano4ka_svet @bomvehcnogosna За кораблём, чмо 🖕"
1607,irina_odessaUKR,"RT @StugnaU: По заявлениям кремля росия воюет с натой почти 9 лет. Только вот ната почему-то до сих пор не в курсе происходящего и пока ""во…"
1608,Larushka_G,"RT @meduzaproject: ДАННОЕ СООБЩЕНИЕ (МАТЕРИАЛ) СОЗДАНО И (ИЛИ) РАСПРОСТРАНЕНО ИНОСТРАННЫМ СРЕДСТВОМ МАССОВОЙ ИНФОРМАЦИИ, ВЫПОЛНЯЮЩИМ ФУНКЦИ…"
1609,ukraine_don,"@Hait701 @lano4ka_svet @bomvehcnogosna Чучело, ты такое смешное. Ага, унитаз и язык, твои фантазии, как раз твои чмобики вам унитазов привезли из Украины, бегом на работу."
1610,321hsUDjPIuefOi,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1611,AlexStench,"@LukaVata_fack @crtc3 @ok_ukraine @Sv3XTcFRUAHTYi9 Не спорьте с ним, это троль."
1612,snek61,"RT @StugnaU: По заявлениям кремля росия воюет с натой почти 9 лет. Только вот ната почему-то до сих пор не в курсе происходящего и пока ""во…"
1613,volduma,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1614,Hait701,"@ukraine_don @lano4ka_svet @bomvehcnogosna Я-то болтаю языком, а ты унитазы панам вылизываешь. Упс.
Ладно, ты мне надоело. Угарать с убогих, как ты, даже неприлично. Так что прощай! Удачи на новой ""рождине""!
Не грусти и подпевай! https://t.co/k5lliYxLzE"
1615,melchizedek100,"RT @SerDer_Daniels: Бахмутское направление
Орками занимается ""тактическая авиация"" сводной тактической группы ""Адам"" и артиллерия #ВСУ
#Укр…"
1616,StarushkaXoxot,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1617,nicolka2107,RT @dw_russian: Ввести новые санкции против Кремля на фоне ситуации в Днепре призвал премьер-министр Бельгии Ги Верхофстадт. Среди этих мер…
1618,GiaIshkhneli,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1619,Gen_keys,"@VseBudetUkraina @ok_ukraine @53wpsOxtggLTU5c Вот только хотел написать, что костюм у мультяшной героини спиздили!!!
Смысл манипуляции аж семафорит! Красным..."
1620,DohnDoe3,@YfSmIAPQqESSqzu @ok_ukraine Вчерашний эфир с Фейгиным.
1621,3Ia5nCTCWdDF7Dq,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1622,SergejLysyj1,"@veteran_2006 @Ukraine_2021 @BSNcPLbE2g6z3lA Та пидарас, кто ж спорит."
1623,KurilovaGa,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1624,AnnnaPutnina,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1625,OldCaptain,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1626,Irina53758902,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1627,supermosq,"RT @meduzaproject: ДАННОЕ СООБЩЕНИЕ (МАТЕРИАЛ) СОЗДАНО И (ИЛИ) РАСПРОСТРАНЕНО ИНОСТРАННЫМ СРЕДСТВОМ МАССОВОЙ ИНФОРМАЦИИ, ВЫПОЛНЯЮЩИМ ФУНКЦИ…"
1628,luubXxyhuhMGFmv,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1629,sobesednik999,"Раздавить фашиствущих. Сунак пообещал украинцам ""Челленджеры"" | Euronews https://t.co/mJqMBuCnJm"
1630,sergejlopotko,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1631,ukraine_don,"@Hait701 @lano4ka_svet @bomvehcnogosna Угадала, чмобик. Или ты диванный воин, тока языком работаешь 🤣?"
1632,sasha_stadnik,"В возрасте 84 лет умер Вахтанг Кикабидзе.
Спасибо вам за детство, фильм и песни которые все знают наизусть! @ Odessa, Ukraine https://t.co/wnhECj4KEL"
1633,MeduzaSafe,"«Цель удара достигнута». Минобороны РФ — о массированном ударе по Украине, из-за которого в Днепре ракета попала в жилой дом https://t.co/qwF18upXOU"
1634,ladastra1,"RT @meduzaproject: ДАННОЕ СООБЩЕНИЕ (МАТЕРИАЛ) СОЗДАНО И (ИЛИ) РАСПРОСТРАНЕНО ИНОСТРАННЫМ СРЕДСТВОМ МАССОВОЙ ИНФОРМАЦИИ, ВЫПОЛНЯЮЩИМ ФУНКЦИ…"
1635,lossuda,"RT @sliding0885: Обстрелять Днепр дал приказ командир 52-го гвардейского тяжелого бомбардировочного авиационного полка Олег Тимошин — СМИ
О…"
1636,kavkaz_realii,"На кладбищах Краснодарского края и Адыгеи активисты обнаружили новые могилы предположительно убитых в Украине военных. 
https://t.co/tz2PARxrLx"
1637,a_skenderska,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1638,sEMRfOCW3zy2wr6,"RT @SvobodaRadio: Великобритания уже в ближайшие недели поставит Украине 14 тяжёлых танков ""Челленджер-2"" и станет первой страной, от котор…"
1639,rebeka999,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1640,GAZENVAGEN1,"RT @dw_russian: Кремль пытается отказаться от предложения Киева о мирном саммите, используя в качестве оправдания ""давние ложные утверждени…"
1641,NikolayBar13,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1642,Hait701,"@ukraine_don @lano4ka_svet @bomvehcnogosna Не угадал.
Так всё же, где ты будешь его встречать? Стесняешься сказать или боишься сглазить и не попасть в Польшу к пану под унитаз? 😂"
1643,MGK0501,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1644,ukraine_don,"@shurasplushkin @lubov_strunina @menywddig @Voluska18 За всё горе ответите, твари. Всё бумерангом вернётся на все ваши следующие поколения."
1645,VedaVlad,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
1646,NaumovTolik,RT @dw_russian: Ввести новые санкции против Кремля на фоне ситуации в Днепре призвал премьер-министр Бельгии Ги Верхофстадт. Среди этих мер…
1647,LTdtpWu304PL72Y,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
