,User,Original Tweet
39,Alex_Natykan,"RT @wizardaleks: 🔥Politico: В конгрессе 🇺🇲США призвали передать🇺🇦 Киеву баллистические ракеты для ударов по Крыму.⚡
https://t.co/LxfsM83ywr"
40,rogue_corq,Канада выплатит жертвам жестокого обращения с коренными народами более 2 миллиардов долларов https://t.co/QK5QRjwwP5 #ukraine
41,MrVarno,"RT @finanzru: Разведка США: Путин потерял в Украине почти всю армию, собранную перед 24 февраля

188 тысяч убитыми и ранеными - такую цифру…"
42,vv120907,"RT @garaevruslan02: Мигрантов из Кыргызстана и Таджикистана, получивших российское гражданство, перестали выпускать из России под предлогом…"
43,SkageniyKotyara,@ok_ukraine Агент Виродок. Нормально?
44,Ohlalena,"RT @finanzru: Разведка США: Путин потерял в Украине почти всю армию, собранную перед 24 февраля

188 тысяч убитыми и ранеными - такую цифру…"
45,GRUZ200_300,"RT @OnfireUkraine: В Киеве церемония прощания с погибшими в авиакатастрофе в Броварах.
К зданию МВД прибыл кортеж с телами погибших.#HIMARS…"
46,GRUZ200_300,"RT @OnfireUkraine: А в Броварах сегодня прощаются с погибшей из-за крушения вертолета девочкой Миланой и ее мамой Еленой.
Отец малышки узна…"
47,GRUZ200_300,"RT @OnfireUkraine: В районе Дергачей Харьковской области нашли схрон рашистских боеприпасов.
Он находился там еще с момента оккупации этих…"
48,GRUZ200_300,"RT @OnfireUkraine: 🇬🇧 В Минобороны Великобритании показали, на что способны танки Challenger 2 #HIMARS #SlavaUkraine #UkraineRussiaWar #Ukr…"
49,GRUZ200_300,"RT @OnfireUkraine: Оккупанты поняли истинное значение фразы ""катитесь к х*ям"". Ну и, собственно, покатились #HIMARS #SlavaUkraine #UkraineR…"
50,GRUZ200_300,"RT @OnfireUkraine: В Музее науки во Львове теперь все желающие теперь могут утопить ""Москву""  #HIMARS #SlavaUkraine #UkraineRussiaWar #Ukra…"
51,GRUZ200_300,"RT @OnfireUkraine: В Москве возле монумента Леси Украинки задерживают людей за то, что приносят сюда цветы или устраивают одиночные пикеты…"
52,GRUZ200_300,"RT @OnfireUkraine: Тик-ток воины Кадыркина выложили видео с результатами накрытия ВСУ редкого БМП-1АМ ""Басурманин"" вместе с экипажем #HIMAR…"
53,GRUZ200_300,RT @OnfireUkraine: Резников сообщил о прибытии в Украину британских боевых вертолетов Sea King #HIMARS #SlavaUkraine #UkraineRussiaWar #Ukr…
54,GRUZ200_300,"RT @OnfireUkraine: Вашему вниманию предлагается последняя сверхсекретная разработка орды под названием ""Воздушный змей"". Это сверхсовременн…"
55,GRUZ200_300,RT @OnfireUkraine: Момент осколочного ранения российской пропогандонши на станции Соль в Соледаре #HIMARS #SlavaUkraine #UkraineRussiaWar #…
56,GRUZ200_300,RT @OnfireUkraine: Крабик #HIMARS #SlavaUkraine #UkraineRussiaWar #Ukraine #HelpUkraine #UkraineUnderAttack #StopPutin #RussianWarCrimesInU…
57,GRUZ200_300,"RT @OnfireUkraine: ГПСУ выкатила классный видеролик с названием ""Спасти рядового ""Мавика"".#HIMARS #SlavaUkraine #UkraineRussiaWar #Ukraine…"
58,GRUZ200_300,RT @OnfireUkraine: Уничтоженный  огнём  артиллерии орков  броневик ВСУ Roshel Senator Канадского производства. Донецкий фронт #HIMARS #Slav…
59,GRUZ200_300,RT @OnfireUkraine: Украинские позиции взятые оккупантами.#HIMARS #SlavaUkraine #UkraineRussiaWar #Ukraine #HelpUkraine #UkraineUnderAttack…
60,GRUZ200_300,RT @OnfireUkraine: Насильная мобилизация на Украине продолжается #HIMARS #SlavaUkraine #UkraineRussiaWar #Ukraine #HelpUkraine #UkraineUnde…
61,GRUZ200_300,RT @OnfireUkraine: Насильная мобилизация на Украине продолжается #HIMARS #SlavaUkraine #UkraineRussiaWar #Ukraine #HelpUkraine #UkraineUnde…
62,GRUZ200_300,RT @OnfireUkraine: Артиллеристы 28-й ОМБР успешно утилизировали вражескую технику и БК #HIMARS #SlavaUkraine #UkraineRussiaWar #Ukraine #He…
63,GRUZ200_300,RT @OnfireUkraine: 36 ОБМП ім. контр - адмирала Михаила Белинского отправили более 15 кацапов на концерт кобзона при попытке наступления #H…
64,GRUZ200_300,RT @OnfireUkraine: Трехочковый из ВОГа орку #HIMARS #SlavaUkraine #UkraineRussiaWar #Ukraine #HelpUkraine #UkraineUnderAttack #StopPutin #R…
65,GRUZ200_300,RT @OnfireUkraine: Бригада быстрого реагирования Нацгвардии показала кадры уничтожения русской пехоты в районе Бахмута #HIMARS #SlavaUkrain…
66,GRUZ200_300,"RT @OnfireUkraine: В Одессе произошел взрыв, горит электрическая подстанция.#HIMARS #SlavaUkraine #UkraineRussiaWar #Ukraine #HelpUkraine #…"
67,GRUZ200_300,"RT @OnfireUkraine: «Если все думают, что мы выиграем войну, то очень не похоже». 
Арестович заявил, что он теперь не официальное лицо и мож…"
68,GRUZ200_300,RT @OnfireUkraine: Котик неудачно рассчитал траекторию #HIMARS #SlavaUkraine #UkraineRussiaWar #Ukraine #HelpUkraine #UkraineUnderAttack #S…
69,GRUZ200_300,RT @OnfireUkraine: А вот так на фоне отказа Шольца поставлять танки Украине выглядит обложка польского еженедельника Wprost.#HIMARS #SlavaU…
70,GRUZ200_300,RT @OnfireUkraine: Зеленский встретился с Джонсоном в ходе его визита в Киев #HIMARS #SlavaUkraine #UkraineRussiaWar #Ukraine #HelpUkraine…
71,GRUZ200_300,RT @OnfireUkraine: 🇺🇦🇺🇸В Одессе мужчина устроил заплыв в море с украинским и американским флагами в честь Дня соборности Украины #HIMARS #S…
72,GRUZ200_300,"RT @OnfireUkraine: Видео железнодорожного состава с американскими БМП Bradley, в Польше #HIMARS #SlavaUkraine #UkraineRussiaWar #Ukraine #H…"
73,GRUZ200_300,"RT @OnfireUkraine: Видео жёсткого задержания мужчины в Одессе при вручении ему повестки. По словам сотрудников военкомата, он оскорблял их…"
74,GRUZ200_300,RT @OnfireUkraine: Украинскую самоходку Krab спасло от русского беспилотника простое укрытие из рабицы и палок #HIMARS #SlavaUkraine #Ukrai…
75,GRUZ200_300,RT @OnfireUkraine: Бойцы 71 егерской бригады ДШВ дали прикурить оккупантам в районе Бахмута #HIMARS #SlavaUkraine #UkraineRussiaWar #Ukrain…
76,GRUZ200_300,"RT @OnfireUkraine: Это ад на Земле. Позиции ВСУ после удара выглядят ужасающе.
Раскалённое, как поверхность Солнца, поле — пугающе красиво.…"
77,GRUZ200_300,"RT @OnfireUkraine: Еще одна попытка наступления кацапов на Запорожском направлении, в результате которой было уничтожено 5 БМП и около 30 о…"
78,GRUZ200_300,RT @OnfireUkraine: Бойцы «Кавказского Легиона» отбили попытку штурма орков на Бахмутском направлении #HIMARS #SlavaUkraine #UkraineRussiaWa…
79,GRUZ200_300,RT @OnfireUkraine: Прямое попадание артиллерии по кацапу #HIMARS #SlavaUkraine #UkraineRussiaWar #Ukraine #HelpUkraine #UkraineUnderAttack…
80,basarab_m,"RT @finanzru: Разведка США: Путин потерял в Украине почти всю армию, собранную перед 24 февраля

188 тысяч убитыми и ранеными - такую цифру…"
81,GRUZ200_300,RT @OnfireUkraine: 110-я бригада ТРО отработала по кацапской сволочи на Запорожском направлении #HIMARS #SlavaUkraine #UkraineRussiaWar #Uk…
82,GRUZ200_300,"RT @OnfireUkraine: Люблю смотреть на то, как пылают кацапские склады БК #HIMARS #SlavaUkraine #UkraineRussiaWar #Ukraine #HelpUkraine #Ukra…"
